id,author,desc,sales,average,highest_price,lowest_price
CAT_000125_e170_d1,Monsabré,"L. a. s. à un journaliste; Le Havre, 1887, 1 p. 1/2 in-8. Intéressante.","[{'date': '1891-06', 'price': 8.0}, {'date': '1889-10', 'price': 3.0}]",5.5,8.0,3.0
CAT_000225_e216_d1,Renan,"L. a. s.; Paris, 1862, 1 p. in-8.","[{'date': '1892-12', 'price': 10.0}, {'date': '1889-10', 'price': 18.0}, {'date': '1895-02', 'price': 6.0}]",11.33,18.0,6.0
CAT_000099_e147_d1,Rouget,"L. aut. sig. à M. Tastu; Choisy-le-Roi, 21 juin 1832, 1 p. 1/2 in-4.","[{'date': '1889-10', 'price': 35.0}, {'date': '1886-01', 'price': None}]",35.0,35.0,35.0
CAT_000125_e207_d1,Saint-Prest,"L. a. s. à Monseigneur…, Paris, 20 sept. 1712, 3 p. in-4. Rare.","[{'date': '1893-02', 'price': 10.0}, {'date': '1889-10', 'price': 20.0}]",15.0,20.0,10.0
CAT_000125_e218_d1,Sixte-Quint,"Let. sig. à Castellino et J.-A. Pinelli ; Roine, 20 juin 1586, 3/4 de p. in-4. L. a. signature est un peu endommagée par suite de la mauvaise qualité de l'encre.","[{'date': '1890-10', 'price': 20.0}, {'date': '1893-02', 'price': 15.0}, {'date': '1889-10', 'price': 20.0}]",18.33,20.0,15.0
CAT_000065_e151_d1,Turenne,"L. a. s. à son neveu le cardinal de Bouillon; (août 1671), 1 p. 1/4 in-8, cachets.","[{'date': '1889-10', 'price': 55.0}, {'date': '1883-04', 'price': 40.0}]",47.5,55.0,40.0
CAT_000018_e171_d1,Uhrich,"L. sig.; Milan, 1860, 1 p. in-4.","[{'date': '1872-08', 'price': 3.0}, {'date': '1889-10', 'price': 2.0}, {'date': '1873-08', 'price': 3.0}]",2.67,3.0,2.0
CAT_000052_e20_d1,Ansiaux,"L. a. s., 1824, 1 p. in-4.","[{'date': '1889-10', 'price': 5.0}, {'date': '1880-10', 'price': 3.0}]",4.0,5.0,3.0
CAT_000125_e280_d1,Fantin-Latour,"L. a. s. à Bonvin, 1879, 1 p. in-8.","[{'date': '1891-12', 'price': 6.0}, {'date': '1896-07', 'price': 5.0}, {'date': '1889-10', 'price': 3.0}]",4.67,6.0,3.0
CAT_000125_e312_d1,Landseer,"L. a. s. avec post-script. aut. sig. de sa femme Jessie Landseer, à son père; Londres, 1845, 4 p. in-8.","[{'date': '1891-02', 'price': 15.0}, {'date': '1889-10', 'price': 10.0}]",12.5,15.0,10.0
CAT_000144_e222_d1,Restout,"L. a. s.; 1778, 1 p. in-4.","[{'date': '1893-02', 'price': 12.0}, {'date': '1889-10', 'price': 8.0}, {'date': '1891-12', 'price': 15.0}]",11.67,15.0,8.0
CAT_000235_e249_d1,Schnetz,"L. a. s.; Rome, 1844, 1 p. in-8.","[{'date': '1889-10', 'price': 3.0}, {'date': '1896-01', 'price': 5.0}]",4.0,5.0,3.0
CAT_000170_e277_d1,Vien,"Pièce sig.; Rome, 1780, 1/2 p. in-4.","[{'date': '1889-10', 'price': 3.0}, {'date': '1893-11', 'price': 5.0}]",4.0,5.0,3.0
CAT_000125_e342_d1,Blainville,"Pièce sur vélin; Paris, 24 février 1370 (1371), in-4 obl. Incomplète des fins de ligne.","[{'date': '1893-05', 'price': 15.0}, {'date': '1889-10', 'price': 20.0}]",17.5,20.0,15.0
CAT_000328_e302_d1,Charles,"Pièce sur vélin; L. a. Rochelle (Charente -Inférieure), 11 mars 1387 (1388). in-4 obl.","[{'date': '1889-10', 'price': 12.0}, {'date': '1893-02', 'price': 10.0}]",11.0,12.0,10.0
CAT_000226_e304_d1,Du,"Pièce sur vélin ; 18 déc. 1444, in-fol. obl., cachet.","[{'date': '1889-10', 'price': 20.0}, {'date': '1895-03', 'price': 15.0}]",17.5,20.0,15.0
CAT_000230_e286_d1,Eléonore,"Pièce sur vélin ; 28 mars 1530 (1531), in-4 obl.","[{'date': '1889-10', 'price': 15.0}, {'date': '1895-07', 'price': 10.0}]",12.5,15.0,10.0
CAT_000125_e356_d1,Fricamps,"Pièce sur vélin ; Cherbourg, 22 déc. 1369, in-4 obl.","[{'date': '1896-04', 'price': 12.0}, {'date': '1889-10', 'price': 15.0}]",13.5,15.0,12.0
CAT_000225_e295_d1,Rouergue,"Pièce en provençal et en latin sur vélin; 1446, 16 p. in-fol.","[{'date': '1889-10', 'price': 40.0}, {'date': '1895-02', 'price': 30.0}]",35.0,40.0,30.0
CAT_000125_e376_d1,Allemagne,"2 pièces sur vélin ; Orléans, 16 avril 1383, Paris, 23 mai 1383, in-4 obl.","[{'date': '1894-11', 'price': 12.0}, {'date': '1889-10', 'price': 15.0}]",13.5,15.0,12.0
CAT_000197_e268_d1,Musique,"Pièce sur vélin; Paris, 4 mars 1355 (1356), in-4 obl., sceau plaqué.","[{'date': '1889-10', 'price': 15.0}, {'date': '1893-02', 'price': 10.0}]",12.5,15.0,10.0
CAT_000106_e12_d1,Auguste,"L. a. s., en français, à Louis XV; Kenigstein, 17 oct. 1756, 1 p. 1/2 in-4, cachets à ses armes. Légère tache.","[{'date': '1893-11', 'price': 60.0}, {'date': '1887-01', 'price': 75.0}]",67.5,75.0,60.0
CAT_000116_e45_d1,Boucher,"L. a. s. à M. Poussier, huissier au Châtelet, 11 fév. 1784, 1 p. in-4, légèrement bétonnée, cachet à ses armes.","[{'date': '1893-11', 'price': 6.0}, {'date': '1888-05', 'price': 8.0}]",7.0,8.0,6.0
